

##########################
Quicklogic Open Platform 2.0
SW Version: OP2-QuickFeather-bootloader
May 14 2020 16:40:02
##########################

User button not pressed: proceeding to load application
ram init content size: 0x00001008, 4104
ram_block: [0], start:[0x40018000], size: [0x00000400, 1024]
addr: 0x40018000, read: 0x00030d86, write: 0x000198dd
addr: 0x40018004, read: 0x00030d86, write: 0x000198dd
addr: 0x40018008, read: 0x00030d86, write: 0x000198dd
addr: 0x4001800c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018010, read: 0x00030d86, write: 0x000198dd
addr: 0x40018014, read: 0x00030d86, write: 0x000198dd
addr: 0x40018018, read: 0x00030d86, write: 0x000198dd
addr: 0x4001801c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018020, read: 0x00030d86, write: 0x000198dd
addr: 0x40018024, read: 0x00030d86, write: 0x000198dd
addr: 0x40018028, read: 0x00030d86, write: 0x000198dd
addr: 0x4001802c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018030, read: 0x00030d86, write: 0x000198dd
addr: 0x40018034, read: 0x00030d86, write: 0x000198dd
addr: 0x40018038, read: 0x00030d86, write: 0x000198dd
addr: 0x4001803c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018040, read: 0x00030d86, write: 0x000198dd
addr: 0x40018044, read: 0x00030d86, write: 0x000198dd
addr: 0x40018048, read: 0x00030d86, write: 0x000198dd
addr: 0x4001804c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018050, read: 0x00030d86, write: 0x000198dd
addr: 0x40018054, read: 0x00030d86, write: 0x000198dd
addr: 0x40018058, read: 0x00030d86, write: 0x000198dd
addr: 0x4001805c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018060, read: 0x00030d86, write: 0x000198dd
addr: 0x40018064, read: 0x00030d86, write: 0x000198dd
addr: 0x40018068, read: 0x00030d86, write: 0x000198dd
addr: 0x4001806c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018070, read: 0x00030d86, write: 0x000198dd
addr: 0x40018074, read: 0x00030d86, write: 0x000198dd
addr: 0x40018078, read: 0x00030d86, write: 0x000198dd
addr: 0x4001807c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018080, read: 0x00030d86, write: 0x000198dd
addr: 0x40018084, read: 0x00030d86, write: 0x000198dd
addr: 0x40018088, read: 0x00030d86, write: 0x000198dd
addr: 0x4001808c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018090, read: 0x00030d86, write: 0x000198dd
addr: 0x40018094, read: 0x00030d86, write: 0x000198dd
addr: 0x40018098, read: 0x00030d86, write: 0x000198dd
addr: 0x4001809c, read: 0x00030d86, write: 0x000198dd
addr: 0x400180a0, read: 0x00030d86, write: 0x000198dd
addr: 0x400180a4, read: 0x00030d86, write: 0x000198dd
addr: 0x400180a8, read: 0x00030d86, write: 0x000198dd
addr: 0x400180ac, read: 0x00030d86, write: 0x000198dd
addr: 0x400180b0, read: 0x00030d86, write: 0x000198dd
addr: 0x400180b4, read: 0x00030d86, write: 0x000198dd
addr: 0x400180b8, read: 0x00030d86, write: 0x000198dd
addr: 0x400180bc, read: 0x00030d86, write: 0x000198dd
addr: 0x400180c0, read: 0x00030d86, write: 0x000198dd
addr: 0x400180c4, read: 0x00030d86, write: 0x000198dd
addr: 0x400180c8, read: 0x00030d86, write: 0x000198dd
addr: 0x400180cc, read: 0x00030d86, write: 0x000198dd
addr: 0x400180d0, read: 0x00030d86, write: 0x000198dd
addr: 0x400180d4, read: 0x00030d86, write: 0x000198dd
addr: 0x400180d8, read: 0x00030d86, write: 0x000198dd
addr: 0x400180dc, read: 0x00030d86, write: 0x000198dd
addr: 0x400180e0, read: 0x00030d86, write: 0x000198dd
addr: 0x400180e4, read: 0x00030d86, write: 0x000198dd
addr: 0x400180e8, read: 0x00030d86, write: 0x000198dd
addr: 0x400180ec, read: 0x00030d86, write: 0x000198dd
addr: 0x400180f0, read: 0x00030d86, write: 0x000198dd
addr: 0x400180f4, read: 0x00030d86, write: 0x000198dd
addr: 0x400180f8, read: 0x00030d86, write: 0x000198dd
addr: 0x400180fc, read: 0x00030d86, write: 0x000198dd
addr: 0x40018100, read: 0x00030d86, write: 0x000198dd
addr: 0x40018104, read: 0x00030d86, write: 0x000198dd
addr: 0x40018108, read: 0x00030d86, write: 0x000198dd
addr: 0x4001810c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018110, read: 0x00030d86, write: 0x000198dd
addr: 0x40018114, read: 0x00030d86, write: 0x000198dd
addr: 0x40018118, read: 0x00030d86, write: 0x000198dd
addr: 0x4001811c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018120, read: 0x00030d86, write: 0x000198dd
