System State,Events,Expected Next State,Guards,,,,,,,,,Actions,,,,,,,,
,,,DFS,VR,AudioHW,PTT_Switch,Mute_Switch,LPSD,CircularBuffer,HIF,D2H,DFS,VR,AudioHW,PTT_Switch,Mute_Switch,LPSD,CircularBuffer,HIF,D2H
STREAMING_VR,,,NODE4,STOPPED,STREAMING,DONT_CARE,DONT_CARE,DONT_CARE,OUTQING,STARTED,STARTED,NODE4,STOPPED,STREAMING,DONT_CARE,DONT_CARE,DONT_CARE,OUTQING,STARTED,STARTED
,HOST_PROCESS_OFF,STREAMING_STOPPING,,,,,,,,,,,,,,,,STOP,,BEGIN_STOPPING
,LPSD_ON,--,,,,,,,,,,,,,,,STATE_ON,,,
,LPSD_OFF,--,,,,,,,,,,,,,,,STATE_OFF,,,
,HOST_PROCESS_ON,--,,,,,,,,,,,,,,,,,,
STREAMING_STOPPING,,,NODE4,STOPPED,STREAMING,DONT_CARE,DONT_CARE,DONT_CARE,STOPPED,STARTED,STOPPING,NODE4,STOPPED,STREAMING,DONT_CARE,DONT_CARE,DONT_CARE,STOPPED,STARTED,STOPPING
,HIF_EOT,WAIT_ON_KWD,,,,,,LPSD_ON,,,,MIN_NODE4,START,,,,,START_SAVING,STOP,FINISH_STOPPING
,HIF_EOT,WAIT_ON_LPSD,,,,,,LPSD_OFF,,,,MIN_NODE3,STOP,START_SAVING,,,,START_SAVING,STOP,FINISH_STOPPING
,LPSD_ON,--,,,,,,,,,,,,,,,START_ON,,,
,LPSD_OFF,--,,,,,,,,,,,,,,,START_OFF,,,
,HOST_PROCESS_ON,--,,,,,,,,,,,,,,,,,,
WAKING_HOST,,,NODE4,STOPPED,STREAMING,DONT_CARE,DONT_CARE,DONT_CARE,SAVING,STARTED,STOPPED,NODE4,STOPPED,STREAMING,DONT_CARE,DONT_CARE,DONT_CARE,SAVING,STARTED,STOPPED
,HOST_READY_TO_RECEIVE,STREAMING_VR,,,,,,,,,,,,,,,,START_OUTQ,,START
,LPSD_ON,--,,,,,,,,,,,,,,,START_ON,,,
,LPSD_OFF,--,,,,,,,,,,,,,,,START_OFF,,,
,HOST_PROCESS_ON,--,,,,,,,,,,,,,,,,,,
WAIT_ON_KWD,,,NODE4,STARTED,STREAMING,DONT_CARE,DONT_CARE,DONT_CARE,SAVING,STOPPED,STOPPED,NODE4,STARTED,STREAMING,DONT_CARE,DONT_CARE,DONT_CARE,SAVING,STOPPED,STOPPED
,VR_TRIGGER,WAKING_HOST,,,,,,,,,,,STOP,,,,,,START,
,HOST_PROCESS_ON,WAKING_HOST,,,,,,,,,,,STOP,,,,,,START,
,LPSD_OFF,WAIT_ON_LPSD,,,,,,,,,,MIN_NODE3,STOP ,START_SAVING,,,START_OFF,START_SAVING,,
,LPSD_ON,--,,,,,,,,,,,,,,,,,,
,HOST_MUTE_ON,CONFIGURED,,,,,,,,,,MIN_NODE0,STOP,STOP,,,STOP,STOP,,
WAIT_ON_LPSD,,,NODE3,STOPPED,SAVING,DONT_CARE,DONT_CARE,DONT_CARE,SAVING,STOPPED,STOPPED,NODE3,STOPPED,SAVING,DONT_CARE,DONT_CARE,DONT_CARE,SAVING,STOPPED,STOPPED
,LPSD_ON,WAIT_ON_KWD,,,,,,,,,,MIN_NODE4,START,START_STREAMING,,,START_ON,,,
,HOST_PROCESS_ON,WAKING_HOST,,,,,,,,,,MIN_NODE4,STOP,START_STREAMING,,,START_ON,,START,
,HOST_PROCESS_OFF,--,,,,,,,,,,,,,,,,,,
,LPSD_OFF,--,,,,,,,,,,,,,,,START_OFF,,,
,HOST_MUTE_ON,CONFIGURED,,,,,,,,,,MIN_NODE0,STOP,STOP,,,STOP,STOP,,
CONFIGURED,,,DONT_CARE,STOPPED,STOPPED,DONT_CARE,DONT_CARE,STOPPED,STOPPED,STOPPED,STOPPED,DONT_CARE,STOPPED,STOPPED,DONT_CARE,DONT_CARE,STOPPED,STOPPED,STOPPED,STOPPED
,START,,,,,,,,,,,MIN_NODE3,,START_SAVING,,,START_OFF,START_SAVING,,
,HOST_MUTE_OFF,,,,,,,,,,,MIN_NODE3,,,,,,,,
INITIAL,,,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG
,CONFIG,,,,,,,,,,,CONFIG,CONFIG,CONFIG,CONFIG,CONFIG,CONFIG,CONFIG,CONFIG,CONFIG
//END OF TABLE,,,,,,,,,,,,,,,,,,,,
